state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Mizoram,2019,Q2,45257,147150855,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2019,Q2,8919,29564431,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2019,Q2,5077,15941097,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2019,Q2,5047,15936975,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2019,Q2,4502,12828264,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
Mizoram,2019,Q2,2917,10740915,Serchhip,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805,23.31466067301953,92.86269802142805
Mizoram,2019,Q2,2055,7970010,Champhai,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013,23.472111879267075,93.31371214235013
Mizoram,2019,Q2,1897,7884158,Saiha,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016,22.491086304181525,92.98255591765016
Mizoram,2019,Q3,54796,162632861,Aizawl,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674,23.733989889360906,92.72324561226674
Mizoram,2019,Q3,13305,34090897,Lunglei,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915,22.905331130382415,92.75309356673915
Mizoram,2019,Q3,6977,17976086,Kolasib,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135,24.233517762007484,92.68347784567135
Mizoram,2019,Q3,6296,14161494,Mamit,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789,23.869969557351787,92.4851463489789
Mizoram,2019,Q3,6097,14593963,Lawngtlai,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674,22.528444508471388,92.72324561226674
